@relation 'classification file'

@attribute Headline string
@attribute label_class {ANGER,DISGUST,FEAR,JOY,SADNESS,SURPRISE}

@data
'Teacher in Hiding After Attack on Islam Stirs Threats',FEAR
'Lies, damned lies, and divorce',SADNESS
'Cultural revolutionary, the iPod is five',JOY
'Flooding washes out road to Valdez, Alaska',SADNESS
'Vegetables May Boost Brain Power in Older Adults',JOY
'Russian ship sinks in Pacific',SADNESS
'Alonso would be happy to retire with three titles',JOY
'Chefs not counting calories, study finds',SADNESS
'Scientists create first cloaking device',SURPRISE
'The sweet tune of an anniversary',JOY
'Dem leader\'s $1 million land deal under scrutiny',ANGER
'Prestige has magic touch',JOY
'Dating difficult for Harry Potter',SURPRISE
'Porn star candidate campaigns on campus',DISGUST
'Yankee Dies in Plane Crash, Official Says',SADNESS
'Alzheimer\'s Drugs Offer No Help, Study Finds',SADNESS
'Hurricane Paul Weakens To Tropical Storm',SURPRISE
'Bush Insists Troops Stay in Iraq, Predicts Midterm Victory',DISGUST
'Jon Stewart mocks benefits of CNN\'s I',SURPRISE
'Photographer kidnapping condemned',DISGUST
'Hungary police tackle violent protestors',SADNESS
'Fitness: Bodies in Motion, Clean and Sober',JOY
'Kentucky seeks alcohol huffing ban',JOY
'College tuition continues climbing',ANGER
'Bad reasons to be good',SADNESS
'Amish killings school demolished',SADNESS
'Bucs find a new kick in life',JOY
'Apple set for massive market gains',JOY
'Manning inspires Giants to victory in Dallas',JOY
'Turkish Writers Say Efforts to Stifle Speech May Backfire',ANGER
'Griffiths scorns Withnail \'play\'',DISGUST
'Three found alive from missing Russian ship -report',JOY
'Hacker unlocks Apple music download protection',SURPRISE
'Israeli Bomblets Plague Lebanon',FEAR
'Israel admits using phosphorous shells in Lebanon',SADNESS
'U.S. Weighs Sanctions Against North Korea',ANGER
'10 die in 22-hour Kashmir standoff',FEAR
'Warner will not run in \'08',SADNESS
'Ukraine gas deal marred by fears',FEAR
'Stars scuffle on \'Grey\'s Anatomy\'',DISGUST
'Women Face Greatest Threat of Violence at Home, Study Finds',DISGUST
'A Mix of Oil and Environmentalism',FEAR
'Did Viking Probes Miss Life on Mars?',SURPRISE
'Nigeria hostage feared dead is freed',JOY
'Cohn gunman jailed for 36 years',JOY
'Friends for Life: An Emerging Biology of Emotional Healing',JOY
'Gunmen kill 11 in Iraq TV raid',SADNESS
'Marathon victory comes at heavy cost',SADNESS
'Genghis Khan Beer? Mongolia Grimaces',SURPRISE
'Flu Vaccine Appears Safe for Young Children',JOY
'Cher auction fetches double pre-sale estimates',JOY
'Italy drops Sicily bridge plans',SURPRISE
'Peter Pan flies into chapter two',SURPRISE
'Britain to restrict immigrants from new EU members',DISGUST
'Costner appeals in casino wrangle',ANGER
'Sony apologises for global battery recall',SADNESS
'Ex-JonBenet suspect: Child porn case dropped',ANGER
'Reid land deal under scrutiny',SURPRISE
'Anti-U.S. Attack Videos Spread on the Internet',ANGER
'Ashton Kutcher tells secret to Ryan Seacrest',SURPRISE
'Student starts white men\'s club on campus',SADNESS
'With YouTube, Grad Student Hits Jackpot Again',JOY
'Lebo: A life lived on the edge',SURPRISE
'Hurricane Paul nears Category 3 status',FEAR
'Cher\'s dress, car, bed have new owners',JOY
'Women in their 60s \'are perfectly good mothers\'',SADNESS
'U.N. Force Is Treading Lightly on Lebanese Soil',FEAR
'French suburb riots could resume',FEAR
'Alaska town cut off from rest of state by flood',FEAR
'Slain Amish girls laid to rest',SADNESS
'War is close, Ethiopia tells Somali rebels',FEAR
'Man admits UK-US terror bomb plot',FEAR
'Heavy use of mobile phones can make men infertile, scientists say',FEAR
'Madonna adoption bid approved',JOY
'4th person dies after receiving flu shot',SADNESS
'Senator Says U.S. Should Rethink Iraq Strategy',SURPRISE
'Madonna\'s new baby\'s daddy didn\'t realize adoption was `for good\'',SURPRISE
'Tensions as Hungary marks uprising',FEAR
'Madonna files adoption papers',JOY
'Pot smokers may avoid Alzheimer\'s, study says',SURPRISE
'We were \'arrogant and stupid\' over Iraq, says US diplomat',SADNESS
'Britain to Limit Workers from Romania, Bulgaria',FEAR
'Nicole Kidman asks dad to help stop husband\'s drinking',SADNESS
'Yankee pitcher\'s pilot log found',SURPRISE
'Bad weather slows S.Korean search for Russian ship',SADNESS
'More Human Remains Found at Ground Zero',SADNESS
'Full recovery expected for marathon winner',JOY
'Iraqi Journalists Add Laws to List of Dangers',FEAR
'Cleric Said to Lose Reins Over Part of Iraqi Militia',SADNESS
'Probe under way in Yankee crash',SADNESS
'Pit bulls jump miniature pony, leave her bloody',SADNESS
'Madonna files adoption papers in Malawi',JOY
'UK characters boosting box office',JOY
'German paper shows soldiers desecrating skull',DISGUST
'Sudan urges UN to replace its special envoy',SURPRISE
'Top General Optimistic on Iraq',SADNESS
'Teen repellent inventor wins infamous prize',JOY
'Photographer kidnapped in Gaza',DISGUST
'Immigrants and French Reach Deal in Standoff',JOY
'Game on! London exhibition celebrates the history of video games',JOY
'Squirrel jumps boy in park; rabies suspected',SURPRISE
'Who are you calling fat?',DISGUST
'Russian ship sinks, 18-member crew missing',SADNESS
'Global Sludge Ends in Tragedy for Ivory Coast',SADNESS
'Amish schoolhouse torn down',SADNESS
'US Troops Killed In October In Iraq',SADNESS
'Ottawa must redefine \'terror\'',FEAR
'No evidence of ice reserves on the moon',SADNESS
'Amateur rocket scientists reach for space',JOY
'Routine mission turns into hunt for missing comrade',SADNESS
'Inconvenient truths',ANGER
'Disturbing finds in child sex raids',DISGUST
'Advantage Cardinals with Suppan in Game 4',JOY
'Ex-Virginia gov not running for president',SURPRISE
'Seduced by Snacks? No, Not You',DISGUST
'In God\'s Name: Religion-Based Tax Breaks: Housing to Paychecks to Books',SURPRISE
'An Old Letter Casts Doubts on Iran\'s Goal for Uranium',SURPRISE
'How to Prevent Iraq From Getting Even Worse',FEAR
'Toddler died from E. coli tainted spinach',SADNESS
'Dad locked up son, watched on TV, police say',SADNESS
'Sony Hates Europeans, Will Prevent The Importing of PS3',ANGER
'Combative Bush Releases Parts of Terror Study',FEAR
'Sri Lanka clashes kill 129 troops',SADNESS
