@relation 'fear file'

@attribute Headline string
@attribute fear numeric

@data
'Disturbing finds in child sex raids',4
'Report criticises US press freedoms',6
'Sudan urges UN to replace its special envoy',0
'Peter Pan flies into chapter two',0
'Dead Bachelors in Remote China Still Find Wives',0
'Teacher in Hiding After Attack on Islam Stirs Threats',38
'Israel insists on Lebanon overflights',4
'Gunmen kill 11 in Iraq TV raid',43
'Citing Spy Agencies\' Study, Democrats Seek Iraq Changes',0
'Did Viking Probes Miss Life on Mars?',6
'Mortar assault leaves at least 18 dead',60
'Britain to restrict immigrants from new EU members',7
'Waste plant fire forces 5,000 to evacuate',30
'Genghis Khan Beer? Mongolia Grimaces',0
'Cher\'s dress, car, bed have new owners',0
'Fitness: Bodies in Motion, Clean and Sober',0
'Russian ship sinks in Pacific',23
'Scientists create first cloaking device',0
'Three found alive from missing Russian ship -report',5
'Trailblazing trio protects City by the Bay',0
'Police warn of child exploitation online',50
'Yankee Dies in Plane Crash, Official Says',9
'German Chief Forges Accord on Financing Health Care',0
'Tumor Types May Explain Survival Rates for Cancer',9
'\'Dr. McDreamy\' choked in \'Grey\'s\' scuffle',24
'Making peace from victory over poverty',10
'Hungary police tackle violent protestors',16
'Amateur rocket scientists reach for space',0
'Nigeria hostage feared dead is freed',52
'Hurricane Paul nears Category 3 status',68
'Hacker unlocks Apple music download protection',12
'Ex-JonBenet suspect: Child porn case dropped',0
'Costner appeals in casino wrangle',0
'Lies, damned lies, and divorce',10
'Confusion Reigns In the Expanding Digital World',6
'Pit bulls jump miniature pony, leave her bloody',26
'Dem leader\'s $1 million land deal under scrutiny',0
'Cher items snapped up at auction',0
'Sony apologises for global battery recall',0
'Probe under way in Yankee crash',14
'Tropical Storm Paul\'s Outer Bands Hit Mexico\'s Baja California',32
'College tuition continues climbing',3
'Madonna adoption bid approved',0
'Pamuk wins Nobel Literature prize',0
'War is close, Ethiopia tells Somali rebels',57
'Beating poverty in a small way',8
'Las Vegas honour for tiger pair',0
'Moderate drinking reduces men\'s heart attack risk',29
'Celebrities Protest Malibu Gas Facility',0
'Vegetables, not fruit, slow brain decline',25
'Life on Mars? Maybe We Missed It',0
'Kentucky wants to ban alcohol inhalers',8
'Israel admits using phosphorous shells in Lebanon',6
'Martian Life Could Have Evaded Detection by Viking Landers',2
'Dating difficult for Harry Potter',0
'Poison Pill to Swallow: Hawks Hurting After Loss to Vikes',23
'School ends football season after 0-4 start',0
'Perfect lives lose their focus',5
