@relation 'classification file'

@attribute Headline string
@attribute anger numeric
@attribute fear numeric
@attribute disust numeric
@attribute joy numeric
@attribute sadness numeric
@attribute surprise numeric

@data
'Nigeria hostage feared dead is freed',0,1,0,1,0,1
'Cohn gunman jailed for 36 years',0,0,0,0,0,0
'Friends for Life: An Emerging Biology of Emotional Healing',0,0,0,1,0,0
'Gunmen kill 11 in Iraq TV raid',0,0,0,0,1,0
'Marathon victory comes at heavy cost',0,0,0,0,0,0
'Genghis Khan Beer? Mongolia Grimaces',0,0,0,0,0,0
'Flu Vaccine Appears Safe for Young Children',0,0,0,0,0,0
'Cher auction fetches double pre-sale estimates',0,0,0,0,0,0
'Italy drops Sicily bridge plans',0,0,0,0,0,0
'Peter Pan flies into chapter two',0,0,0,0,0,0
'Britain to restrict immigrants from new EU members',0,0,0,0,0,0
'Costner appeals in casino wrangle',1,0,0,0,0,0
'Sony apologises for global battery recall',0,0,0,0,0,0
'Ex-JonBenet suspect: Child porn case dropped',0,0,0,0,0,0
'Reid land deal under scrutiny',0,0,0,0,0,0
'Anti-U.S. Attack Videos Spread on the Internet',1,1,0,0,1,0
'Ashton Kutcher tells secret to Ryan Seacrest',0,0,0,0,0,0
'Student starts white men\'s club on campus',0,0,0,0,0,0
'With YouTube, Grad Student Hits Jackpot Again',0,0,0,1,0,0
'Lebo: A life lived on the edge',0,0,0,0,0,0
'Hurricane Paul nears Category 3 status',0,1,0,0,0,0
'Cher\'s dress, car, bed have new owners',0,0,0,0,0,0
'Women in their 60s \'are perfectly good mothers\'',0,0,0,0,0,0
'U.N. Force Is Treading Lightly on Lebanese Soil',0,0,0,0,0,0
'French suburb riots could resume',0,0,0,0,0,0
'Alaska town cut off from rest of state by flood',0,1,0,0,0,0
'Slain Amish girls laid to rest',0,0,0,0,1,0
'War is close, Ethiopia tells Somali rebels',1,1,0,0,0,0
'Man admits UK-US terror bomb plot',0,1,0,0,0,0
'Heavy use of mobile phones can make men infertile, scientists say',0,0,0,0,0,0
'Madonna adoption bid approved',0,0,0,0,0,0
'4th person dies after receiving flu shot',0,1,0,0,1,0
'Senator Says U.S. Should Rethink Iraq Strategy',0,0,0,0,0,0
'Madonna\'s new baby\'s daddy didn\'t realize adoption was `for good\'',0,0,0,0,0,1
'Tensions as Hungary marks uprising',0,0,0,0,0,0
'Madonna files adoption papers',0,0,0,0,0,0
'Pot smokers may avoid Alzheimer\'s, study says',0,0,0,0,0,1
'We were \'arrogant and stupid\' over Iraq, says US diplomat',0,0,0,0,1,0
'Britain to Limit Workers from Romania, Bulgaria',0,0,0,0,0,0
'Nicole Kidman asks dad to help stop husband\'s drinking',0,0,0,0,0,0
'Yankee pitcher\'s pilot log found',0,0,0,0,0,0
'Bad weather slows S.Korean search for Russian ship',0,0,0,0,0,0
'More Human Remains Found at Ground Zero',0,0,0,0,1,0
'Full recovery expected for marathon winner',0,0,0,1,0,0
'Iraqi Journalists Add Laws to List of Dangers',0,0,0,0,0,0
'Cleric Said to Lose Reins Over Part of Iraqi Militia',0,0,0,0,0,0
'Probe under way in Yankee crash',0,0,0,0,1,0
'Pit bulls jump miniature pony, leave her bloody',0,0,0,0,0,0
'Madonna files adoption papers in Malawi',0,0,0,0,0,0
'UK characters boosting box office',0,0,0,1,0,0
'German paper shows soldiers desecrating skull',0,0,1,0,0,0
'Sudan urges UN to replace its special envoy',0,0,0,0,0,0
'Top General Optimistic on Iraq',0,0,0,0,0,0
'Teen repellent inventor wins infamous prize',0,0,0,0,0,0
'Photographer kidnapped in Gaza',1,0,1,0,1,0
'Immigrants and French Reach Deal in Standoff',0,0,0,0,0,0
'Game on! London exhibition celebrates the history of video games',0,0,0,1,0,0
'Squirrel jumps boy in park; rabies suspected',0,1,0,0,0,1
'Who are you calling fat?',0,0,0,0,0,0
'Russian ship sinks, 18-member crew missing',0,1,0,0,1,0
'Global Sludge Ends in Tragedy for Ivory Coast',0,0,0,0,1,0
'Amish schoolhouse torn down',0,0,0,0,1,0
'US Troops Killed In October In Iraq',0,0,0,0,1,0
'Ottawa must redefine \'terror\'',0,1,0,0,0,0
'No evidence of ice reserves on the moon',0,0,0,0,0,0
'Amateur rocket scientists reach for space',0,0,0,0,0,0
'Routine mission turns into hunt for missing comrade',0,0,0,0,0,0
'Inconvenient truths',0,0,0,0,0,0
'Disturbing finds in child sex raids',0,0,1,0,0,0
'Advantage Cardinals with Suppan in Game 4',0,0,0,0,0,0
'Ex-Virginia gov not running for president',0,0,0,0,0,0
'Seduced by Snacks? No, Not You',0,0,0,0,0,0
'In God\'s Name: Religion-Based Tax Breaks: Housing to Paychecks to Books',0,0,0,0,0,0
'An Old Letter Casts Doubts on Iran\'s Goal for Uranium',0,0,0,0,0,0
'How to Prevent Iraq From Getting Even Worse',0,1,0,0,0,0
'Toddler died from E. coli tainted spinach',0,0,0,0,1,0
'Dad locked up son, watched on TV, police say',0,0,0,0,0,0
'Sony Hates Europeans, Will Prevent The Importing of PS3',0,0,0,0,0,0
'Combative Bush Releases Parts of Terror Study',0,0,0,0,0,0
'Sri Lanka clashes kill 129 troops',0,0,0,0,1,0
